For N = 5	Optimal Value is: 3045.5	Runtime: 0.015561763000008 seconds
For N = 10	Optimal Value is: 5932.5	Runtime: 0.016055651000002058 seconds
For N = 15	Optimal Value is: 8454.625	Runtime: 0.02005642500000704 seconds
For N = 20	Optimal Value is: 11158.75	Runtime: 0.04454141600000128 seconds
For N = 25	Optimal Value is: 14223.5	Runtime: 0.051674660000003314 seconds
For N = 30	Optimal Value is: 17069.375	Runtime: 0.059317802999999 seconds
For N = 35	Optimal Value is: 20025.25	Runtime: 0.08408524900001169 seconds
For N = 40	Optimal Value is: 22658.375	Runtime: 0.0665368519999987 seconds
For N = 45	Optimal Value is: 26206.5	Runtime: 0.12559108400000696 seconds
For N = 50	Optimal Value is: 28161.625	Runtime: 0.12788562800000136 seconds
For N = 55	Optimal Value is: 31404.625	Runtime: 0.13932879000000753 seconds
For N = 60	Optimal Value is: 33523.625	Runtime: 0.15778736800000104 seconds
For N = 65	Optimal Value is: 36438.375	Runtime: 0.17532550200000685 seconds
For N = 70	Optimal Value is: 39425.875	Runtime: 0.18907921799998917 seconds
For N = 75	Optimal Value is: 42863.5	Runtime: 0.21524170100001072 seconds
